epoch,step,val_loss
0,749,0.044626712799072266
1,1499,0.04235321283340454
2,2249,0.04128510504961014
3,2999,0.04064898565411568
4,3749,0.04015049338340759
5,4499,0.039862535893917084
6,5249,0.03960954397916794
7,5999,0.03940236195921898
8,6749,0.03918934613466263
9,7499,0.039044514298439026
