epoch,step,val_loss
0,749,0.04351352900266647
1,1499,0.041868045926094055
2,2249,0.04096753150224686
3,2999,0.04045175015926361
4,3749,0.039892178028821945
5,4499,0.03949027881026268
6,5249,0.03931286931037903
7,5999,0.03906426578760147
8,6749,0.03886031731963158
9,7499,0.038620930165052414
